@relation staticBodyGestures

@attribute HandLeft_X real 
@attribute HandLeft_Y real 
@attribute HandLeft_Z real 
@attribute WristLeft_X real 
@attribute WristLeft_Y real 
@attribute WristLeft_Z real 
@attribute ElbowLeft_X real 
@attribute ElbowLeft_Y real 
@attribute ElbowLeft_Z real 
@attribute ElbowRight_X real 
@attribute ElbowRight_Y real 
@attribute ElbowRight_Z real 
@attribute WristRight_X real 
@attribute WristRight_Y real 
@attribute WristRight_Z real 
@attribute HandRight_X real 
@attribute HandRight_Y real 
@attribute HandRight_Z real 
@attribute gesture {Left_Hand_Up, Left_Hand_To_The_Left, Left_Hand_To_The_Right, Right_Hand_Up, Right_Hand_To_The_Left, Right_Hand_To_The_Right, Both_Hands_Up, Both_Hands_Down} 

@data 
-10903, 11334, -8569, -10535, 9943, -7559, -9224, 5719, -3985, 7769, -8025, -1276, 9269, -14488, -3411, 8343, -15983, -3413, @Left_Hand_Up
-10891, 11303, -8527, -10536, 9904, -7521, -9206, 5682, -3941, 7797, -8028, -1275, 9292, -14486, -3405, 8414, -16010, -3485, @Left_Hand_Up
-10874, 11300, -8494, -10532, 9895, -7494, -9188, 5680, -3918, 7814, -8028, -1267, 9304, -14462, -3394, 8413, -15977, -3454, @Left_Hand_Up
-10881, 11306, -8479, -10538, 9901, -7480, -9180, 5693, -3902, 7868, -8013, -1296, 9302, -14455, -3379, 8323, -15916, -3353, @Left_Hand_Up
-10904, 11362, -8501, -10559, 9956, -7501, -9203, 5740, -3927, 7900, -8017, -1284, 9322, -14450, -3366, 8363, -15924, -3352, @Left_Hand_Up
-10933, 11458, -8562, -10589, 10051, -7565, -9245, 5826, -4007, 7886, -8023, -1279, 9328, -14438, -3361, 8335, -15888, -3312, @Left_Hand_Up
-10939, 11486, -8568, -10598, 10081, -7572, -9253, 5856, -4021, 7897, -8020, -1275, 9316, -14400, -3336, 8348, -15865, -3307, @Left_Hand_Up
-10942, 11495, -8565, -10603, 10089, -7569, -9249, 5867, -4019, 7888, -8030, -1272, 9318, -14396, -3328, 8411, -15899, -3361, @Left_Hand_Up
-18826, 840, 475, -16725, 616, 407, -10911, -5, 797, 8253, -6621, -861, 10521, -12710, -2016, 10829, -14727, -2570, @Left_Hand_To_The_Left
-18491, 598, 315, -16404, 411, 285, -10925, -48, 738, 7755, -6726, -725, 8779, -11471, -899, 7916, -13368, -684, @Left_Hand_To_The_Left
-18992, 327, 143, -16873, 134, 134, -11442, -221, 573, 7695, -6871, -671, 9327, -13204, -1685, 9812, -15045, -2058, @Left_Hand_To_The_Left
-18486, 15, -70, -16368, -52, -44, -11460, -229, 323, 7603, -6886, -609, 9199, -12700, -1662, 9682, -14534, -2033, @Left_Hand_To_The_Left
