@relation staticFaceGestures

@attribute BrowLower real 
@attribute BrowRaiser real 
@attribute JawLower real 
@attribute LipCornerDepressor real 
@attribute LipRaiser real 
@attribute LipStretcher real 
@attribute gesture {Neutral, Yawn, Sad, Happy, ReiseEyeBrows} 

@data 
444, -1329, 2691, 2335, -3245, 2782, Sad
810, -452, 2301, 1249, -3631, 2986, Sad
694, -626, 2274, 1340, -3555, 2849, Sad
722, -594, 2394, 1291, -3415, 3136, Sad
785, -649, 2385, 1508, -3522, 3061, Sad
1096, -522, 2576, 1964, -3728, 2962, Sad
1096, -522, 2576, 1964, -3728, 2962, Sad
1096, -522, 2576, 1964, -3728, 2962, Sad
-444, -1541, 2521, 2201, -3223, 815, Sad
-738, -1617, 2578, 1983, -3182, 953, Sad
-606, -982, 2602, 1908, -2692, 2797, Sad
-209, -1222, 2699, 1811, -2620, 2590, Sad
-587, -1327, 2414, 1709, -3114, 2664, Sad
-177, -1086, 2578, 3013, -3045, 2323, Sad
-510, -1559, 2527, 2223, -4351, 2797, Sad
104, -1441, 2579, 2806, -4471, 3357, Sad
194, -1166, 2678, 2939, -4521, 3956, Sad
-67, -1131, 2475, 2428, -4152, 3481, Sad
80, -1569, 2857, 2681, -3675, 4538, Sad
-17, -865, 2695, 2347, -3446, 4604, Sad
-6, -552, 2533, 2002, -3248, 4183, Sad
-271, -1297, 2859, 2191, -2986, 4786, Sad
64, -1356, 2916, 2516, -2930, 4479, Sad
118, -925, 2958, 2208, -2734, 4106, Sad
118, -925, 2958, 2208, -2734, 4106, Sad
-233, -973, 3066, 1547, -2708, 4459, Sad
-11, -1150, 2505, 1474, -2612, 3479, Sad
20, -714, 2438, 1548, -2499, 3593, Sad
31, -950, 2224, 1357, -2437, 3950, Sad
31, -950, 2224, 1357, -2437, 3950, Sad
31, -950, 2224, 1357, -2437, 3950, Sad
373, -422, 2407, 1495, -2619, 3749, Sad
522, -318, 2516, 1455, -2587, 3789, Sad
290, -840, 2559, 1958, -2615, 3335, Sad
554, -942, 2607, 2279, -2409, 3251, Sad
679, -716, 2719, 2519, -2442, 3267, Sad
1114, -762, 2799, 3200, -2527, 3648, Sad
829, -1128, 2887, 2790, -2603, 3695, Sad
471, -910, 2915, 2360, -2438, 3369, Sad
612, -763, 2831, 2511, -2556, 4413, Sad
250, -750, 2913, 2594, -2630, 4342, Sad
667, -604, 2497, 2665, -3316, 1920, Sad
382, -924, 2539, 2529, -3209, 2325, Sad
719, -1068, 2305, 2600, -3303, 2093, Sad
719, -1068, 2305, 2600, -3303, 2093, Sad
674, -771, 2152, 2013, -3109, 2204, Sad
535, -810, 2094, 1892, -2903, 2227, Sad
429, -520, 1877, 1393, -2709, 2138, Sad
550, -450, 1918, 1871, -2483, 2078, Sad
315, -536, 1866, 1579, -2269, 2724, Sad
466, -516, 1948, 1407, -2302, 2652, Sad
467, -95, 2136, 1190, -1959, 2232, Sad
291, -606, 2148, 1651, -2005, 2339, Sad
147, -638, 2405, 1564, -2108, 2325, Sad
286, -882, 2555, 1957, -2345, 2638, Sad
213, -798, 2690, 1922, -2182, 2543, Sad
344, -1066, 2858, 1849, -2406, 2693, Sad
362, -1165, 2553, 2522, -3674, 3385, Sad
362, -1165, 2553, 2522, -3674, 3385, Sad
362, -1165, 2553, 2522, -3674, 3385, Sad
437, -1215, 2516, 2174, -3890, 2300, Sad
605, -1397, 2554, 2254, -3939, 2465, Sad
501, -1509, 2595, 2566, -4050, 2290, Sad
289, -1372, 2585, 2340, -3976, 1888, Sad
688, -868, 2680, 2694, -3846, 2052, Sad
750, -966, 2734, 2925, -4045, 2183, Sad
820, -829, 2788, 2554, -4036, 1862, Sad
725, -989, 3090, 2890, -4181, 2865, Sad
435, -1079, 3029, 3030, -4265, 2826, Sad
266, -1069, 2464, 2902, -4644, 3180, Sad
209, -1190, 2515, 2675, -4559, 2805, Sad
311, -789, 2355, 2115, -4590, 2840, Sad
610, -912, 2444, 2577, -4369, 2932, Sad
610, -912, 2444, 2577, -4369, 2932, Sad
-446, -222, 1239, 2716, -3871, -420, Happy
-563, -406, 1247, 420, -3520, 2240, Happy
-428, -66, 1286, 445, -3216, 3516, Happy
-147, 58, 1121, 367, -2540, 4368, Happy
-222, 622, 735, -87, -2086, 3597, Happy
-737, -115, 662, 252, -1866, 4194, Happy
-569, -393, 385, 181, -1599, 3615, Happy
-480, 103, 242, 9, -1241, 3823, Happy
-626, -431, 119, -918, -769, 4147, Happy
-730, -232, 168, -815, -598, 4147, Happy
-790, -108, -82, -1016, -234, 4178, Happy
-761, -209, -144, -1098, 12, 4171, Happy
-923, -317, 7, -480, -166, 3664, Happy
-1048, -396, 12, -960, -73, 3912, Happy
-1173, -566, 33, -846, -154, 3986, Happy
-555, -592, 286, -157, -487, 3874, Happy
-555, -592, 286, -157, -487, 3874, Happy
-901, -260, 202, -662, -402, 3655, Happy
-898, -614, 210, -208, -391, 3670, Happy
-898, -614, 210, -208, -391, 3670, Happy
-898, -614, 210, -208, -391, 3670, Happy
-403, -83, 282, -150, -256, 3410, Happy
-493, -847, 439, 475, -396, 3103, Happy
