@relation staticBodyGestures

@attribute HandLeft_X real 
@attribute HandLeft_Y real 
@attribute HandLeft_Z real 
@attribute WristLeft_X real 
@attribute WristLeft_Y real 
@attribute WristLeft_Z real 
@attribute ElbowLeft_X real 
@attribute ElbowLeft_Y real 
@attribute ElbowLeft_Z real 
@attribute ElbowRight_X real 
@attribute ElbowRight_Y real 
@attribute ElbowRight_Z real 
@attribute WristRight_X real 
@attribute WristRight_Y real 
@attribute WristRight_Z real 
@attribute HandRight_X real 
@attribute HandRight_Y real 
@attribute HandRight_Z real 
@attribute gesture {Left_Hand_Up, Left_Hand_To_The_Left, Left_Hand_To_The_Right, Right_Hand_Up, Right_Hand_To_The_Left, Right_Hand_To_The_Right, Both_Hands_Up, Both_Hands_Down} 

@data 
-6672, 15996, -2515, -7280, 14144, -2031, -7479, 6113, -790, 6964, 6328, -1920, 6468, 14443, -2181, 6015, 16399, -2131, Both_Hands_Up
-6813, 15588, -2389, -7367, 13360, -1930, -7462, 6119, -782, 6967, 6427, -1925, 6523, 14424, -2166, 6065, 16374, -2120, Both_Hands_Up
-6794, 15605, -2378, -7342, 13293, -1928, -7449, 6113, -777, 6875, 5610, -1827, 6558, 13780, -2167, 6101, 15729, -2121, Both_Hands_Up
-6771, 15443, -2372, -7245, 12926, -1910, -7420, 6020, -786, 6791, 6008, -1876, 6438, 14109, -2164, 5984, 16040, -2119, Both_Hands_Up
-6729, 15405, -2378, -7193, 12917, -1942, -7399, 6001, -800, 6768, 7786, -2100, 6400, 14208, -2162, 5954, 16139, -2115, Both_Hands_Up
-6668, 15369, -2387, -7142, 12875, -1975, -7374, 5988, -819, 6757, 7785, -2074, 6361, 14189, -2163, 5906, 16115, -2131, Both_Hands_Up
-6613, 15461, -2398, -7115, 12948, -1991, -7368, 6052, -831, 6803, 6264, -1856, 6397, 14267, -2156, 5946, 16203, -2127, Both_Hands_Up
-6579, 15416, -2392, -7075, 12935, -2013, -7358, 6035, -844, 6805, 5909, -1794, 6375, 14008, -2142, 5924, 15939, -2112, Both_Hands_Up
-6552, 15428, -2397, -7020, 13005, -2040, -7338, 6036, -857, 6808, 5740, -1768, 6398, 13842, -2116, 5952, 15776, -2073, Both_Hands_Up
-6535, 15420, -2397, -6983, 13047, -2051, -7312, 6021, -877, 6837, 6050, -1779, 6399, 14145, -2085, 5948, 16075, -2041, Both_Hands_Up
-6420, 15954, -2495, -6763, 14053, -2064, -7271, 6013, -878, 6815, 5827, -1725, 6409, 13911, -2026, 5955, 15837, -1970, Both_Hands_Up
-6499, 15414, -2318, -6831, 13459, -2011, -7255, 6009, -877, 6795, 5715, -1714, 6412, 13794, -1989, 5955, 15717, -1923, Both_Hands_Up
-6388, 15896, -2346, -6761, 13985, -1997, -7217, 6028, -869, 6796, 5649, -1712, 6449, 13733, -1963, 5972, 15651, -1884, Both_Hands_Up
-6324, 16000, -2275, -6727, 14091, -1948, -7200, 6034, -845, 6794, 5629, -1698, 6459, 13723, -1938, 5989, 15643, -1855, Both_Hands_Up
-6213, 15978, -2183, -6694, 14080, -1916, -7172, 6029, -828, 6780, 5595, -1694, 6452, 13682, -1927, 5983, 15599, -1841, Both_Hands_Up
