@relation staticBodyGestures

@attribute HandLeft_X real 
@attribute HandLeft_Y real 
@attribute HandLeft_Z real 
@attribute WristLeft_X real 
@attribute WristLeft_Y real 
@attribute WristLeft_Z real 
@attribute ElbowLeft_X real 
@attribute ElbowLeft_Y real 
@attribute ElbowLeft_Z real 
@attribute ElbowRight_X real 
@attribute ElbowRight_Y real 
@attribute ElbowRight_Z real 
@attribute WristRight_X real 
@attribute WristRight_Y real 
@attribute WristRight_Z real 
@attribute HandRight_X real 
@attribute HandRight_Y real 
@attribute HandRight_Z real 
@attribute gesture {@Left_Hand_Up, @Left_Hand_To_The_Left, @Left_Hand_To_The_Right, @Right_Hand_Up, @Right_Hand_To_The_Left, @Right_Hand_To_The_Right, @Both_Hands_Up, @Both_Hands_Down} 

@data 
-6046, 4048, -19065, -6870, 2892, -18082, -7840, 560, -11382, 4352, -7920, -175, 2228, -14931, -3207, 689, -17136, -4713, 
-6045, 4051, -19055, -6870, 2896, -18073, -7840, 563, -11377, 4349, -7763, -119, 3358, -14147, -2567, 1857, -16466, -3932, 
-6049, 4059, -19072, -6874, 2901, -18085, -7846, 564, -11382, 4350, -7678, -84, 3388, -14074, -2533, 1865, -16379, -3903, 
-6055, 4058, -19084, -6880, 2898, -18094, -7851, 563, -11386, 4340, -7851, -158, 2296, -14909, -3134, 734, -17088, -4664, 
-6056, 4062, -19088, -6882, 2899, -18094, -7854, 562, -11385, 4356, -7721, -100, 3425, -14119, -2573, 1961, -16479, -3925, 
-6006, 4008, -19010, -6822, 2853, -18033, -7816, 536, -11351, 4359, -7686, -79, 2317, -14955, -3156, 803, -17157, -4679, 
-6022, 4018, -19044, -6840, 2859, -18056, -7846, 531, -11364, 4410, -6844, 239, 3527, -13219, -2280, 2051, -15565, -3629, 
-5987, 3994, -18990, -6797, 2847, -18031, -7809, 525, -11354, 4365, -7197, 123, 3422, -13555, -2380, 1968, -15901, -3733, 
-6004, 4003, -19011, -6815, 2857, -18059, -7822, 531, -11369, 4338, -7348, 69, 2247, -14866, -3141, 778, -17120, -4639, 
-6019, 4010, -19036, -6829, 2868, -18088, -7836, 532, -11386, 4341, -7399, 51, 3485, -13826, -2358, 1995, -16146, -3737, 
-6030, 4021, -19052, -6845, 2878, -18101, -7842, 536, -11394, 4341, -7419, 49, 2212, -14993, -3217, 1042, -16879, -4529, 
-6041, 4028, -19053, -6857, 2885, -18103, -7850, 539, -11395, 4340, -7433, 44, 2214, -14991, -3206, 738, -17156, -4696, 
-6002, 3997, -18988, -6811, 2861, -18054, -7820, 529, -11368, 4358, -7732, -112, 3318, -14123, -2495, 1861, -16453, -3881, 
-6016, 4000, -19000, -6828, 2865, -18066, -7825, 534, -11374, 4350, -7692, -98, 3382, -14104, -2465, 1883, -16412, -3848, 
-6056, 4031, -19057, -6871, 2897, -18126, -7858, 541, -11410, 4432, -6838, 227, 3638, -13275, -2231, 2150, -15607, -3609, 
-5987, 3982, -18961, -6783, 2865, -18071, -7815, 513, -11386, 4349, -7796, -108, 3494, -14228, -2484, 1948, -16507, -3855, 
-5965, 3950, -18933, -6758, 2836, -18055, -7790, 503, -11375, 4298, -8088, -218, 2146, -14965, -3175, 687, -17207, -4687, 
-5968, 3950, -18945, -6761, 2834, -18064, -7790, 510, -11377, 4304, -8161, -250, 2158, -14985, -3181, 673, -17216, -4689, 
-5988, 3971, -18990, -6787, 2848, -18098, -7810, 514, -11396, 4292, -8219, -263, 2165, -15013, -3182, 662, -17241, -4692, 
-5998, 3980, -19002, -6797, 2855, -18105, -7819, 516, -11401, 4286, -8235, -272, 2172, -15020, -3182, 655, -17243, -4692, 
-6006, 3987, -19013, -6806, 2859, -18111, -7823, 518, -11403, 4280, -8256, -281, 2176, -15028, -3185, 649, -17247, -4694, 
-6019, 4005, -19040, -6822, 2872, -18131, -7833, 526, -11414, 4274, -8268, -284, 2178, -15041, -3187, 659, -17274, -4694, 
-5969, 3984, -18970, -6764, 2856, -18071, -7800, 517, -11383, 4273, -8275, -286, 2202, -15001, -3171, 682, -17222, -4673, 
-5937, 3985, -18928, -6726, 2859, -18032, -7771, 525, -11362, 4285, -8264, -285, 2218, -14964, -3162, 698, -17179, -4660, 
-5956, 3999, -18963, -6746, 2864, -18052, -7797, 531, -11371, 4281, -8281, -283, 2220, -14991, -3166, 688, -17205, -4665, 
-5975, 4022, -19010, -6771, 2877, -18085, -7814, 539, -11387, 4286, -8304, -288, 2217, -15018, -3174, 681, -17237, -4677, 
-5964, 4017, -18999, -6758, 2872, -18074, -7801, 537, -11382, 4335, -7945, -145, 2226, -15014, -3171, 683, -17227, -4672, 
-5978, 4028, -19024, -6773, 2882, -18103, -7810, 541, -11398, 4503, -6601, 343, 3607, -13010, -2133, 2084, -15332, -3491, 
-5989, 4047, -19043, -6783, 2901, -18121, -7830, 551, -11409, 4448, -7185, 123, 2243, -15014, -3122, 698, -17218, -4651, 
-5955, 4028, -18982, -6745, 2889, -18074, -7800, 547, -11385, 4337, -7868, -115, 2251, -14977, -3109, 707, -17173, -4631, 
-5941, 4021, -18976, -6726, 2881, -18073, -7803, 558, -11380, 4466, -6657, 344, 3638, -13051, -2174, 2104, -15367, -3515, 
-5953, 4058, -19017, -6742, 2912, -18111, -7813, 577, -11401, 4451, -6965, 245, 3596, -13374, -2273, 2058, -15694, -3618, 
